Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник,,,,,,Семейство,Введённое название,Принятое название,Висимский заповедник,Жигулевский заповедник
Acerarceae ,Acer ginnala Maxim. ,,-,+,,,,,,Ranunculaceae, (Trollius apertus Perfil. ex Igoschina) (=T. ilmensis Sipl.),Trollius apertus Perfil. ex Igoschina, + ,-
Acerarceae ,Acer negundo L.,,-,+,,,,,,Ranunculaceae, Aconitum lasiostomum Reichenb. ,,-,+
Acerarceae ,Acer platanoides L.,,-,+,,,,,,Poaceae (Gramineae), Alopecurus geniculatus L.,,-,+
Acerarceae ,Acer tataricum L.,,-,+,,,,,,Poaceae (Gramineae), Eremopyrum triticeum (Gaertn.) Nevski,,-,+
Adoxaceae,Adoxa moschatellina L.,Adoxa moschatellina L., + ,+,,,,,,Poaceae (Gramineae), Panicum miliaceum L. ,,-,+
Alismataceae,Alisma plantago-aquatica L.,Alisma plantago-aquatica L., + ,+,,,,,,Poaceae (Gramineae), Panicum ruderale Kitag.,,-,+
Alismataceae,Alisma gramineum Lej. [A. Loeselii Gorski],,-,+,,,,,,Ranunculaceae, Ranunculus trichophyllus Chaix,Ranunculus trichophyllus Chaix ex Vill., + ,
Alismataceae,Alisma lanceolatum With.,,-,+,,,,,,Boraginaceae,Сynoglossum officinale L. ,,-,+
Alismataceae,Sagittaria sagittifolia L.,,-,+,,,,,,Pinaceae,Abies sibirica Ledeb.,Abies sibirica Ledeb., + ,-
Alliaceae,Allium microdictyon Prokh.,Allium microdictyon Prokh., + ,-,,,,,,Malvaceae ,Abutilon theophrasti Medik.,,-,+
Alliaceae,Allium angulosum L.,,-,+,,,,,,Acerarceae ,Acer ginnala Maxim. ,,-,+
Alliaceae,Allium decipiens Fisch. ex Schult. et Schult. fil,,-,+,,,,,,Acerarceae ,Acer negundo L.,,-,+
Alliaceae,Allium globosum Bieb.ex Redoute,,-,+,,,,,,Acerarceae ,Acer platanoides L.,,-,+
Alliaceae,Allium lineare L.,,-,+,,,,,,Acerarceae ,Acer tataricum L.,,-,+
Alliaceae,Allium oleraceum L.,,-,+,,,,,,Polygonaceae,Acetosa pratensis Mill. ,,-,+
Alliaceae,Allium strictum Scrad.,,-,+,,,,,,Polygonaceae,Acetosa thyrsiflora (Fingerh.) A. et Löve,,-,+
Alliaceae,Allium waldsteinii G. Don fil.,,-,+,,,,,,Polygonaceae,Acetosella vulgaris (Koch) Fourr. ,,-,+
Amaranthaceae ,Amaranthus albus L. ,,-,+,,,,,,Asteraceae (Compositae),Achillea collina J.Becker ex Reichenb.,,-,+
Amaranthaceae ,Amaranthus blitoides S. Wats.,,-,+,,,,,,Asteraceae (Compositae),Achillea inudata Kondr. ,,-,+
Amaranthaceae ,Amaranthus blitum L.,,-,+,,,,,,Asteraceae (Compositae),Achillea millefolium L.,Achillea millefolium L., + ,+
Amaranthaceae ,Amaranthus paniculatus L.,,-,+,,,,,,Asteraceae (Compositae),Achillea nobilis L.,,-,+
Amaranthaceae ,Amaranthus retroflexus L.,,-,+,,,,,,Asteraceae (Compositae),Achillea setaceae Waldst. et Kit.,,-,+
Apiaceae (Umbelliferae),Aegopodium podagraria L.,Aegopodium podagraria L., + ,+,,,,,,Asteraceae (Compositae),Achillea stepposa Klok. et Krytzka,,-,+
Apiaceae (Umbelliferae),Angelica sylvestris L.,Angelica sylvestris L., + ,+,,,,,,Lamiaceae (Labiatae),Acinos arvensis (Lam.) Dandy ,,-,+
Apiaceae (Umbelliferae),Anthriscus sylvestris (L.) Hoffm.,Anthriscus sylvestris (L.) Hoffm., + ,+,,,,,,Ranunculaceae,Aconitum septentrionale Koelle,Aconitum septentrionale Koelle, + ,+
